country,subregion
New Zealand,Australia and New Zealand
Australia,Australia and New Zealand
Jamaica,Caribbean
Puerto Rico,Caribbean
Curacao,Caribbean
Honduras,Central America
Mexico,Central America
Nicaragua,Central America
El Salvador,Central America
Costa Rica,Central America
Tajikistan,Central Asia
Kazakhstan,Central Asia
Zambia,Eastern Africa
Somalia,Eastern Africa
Reunion,Eastern Africa
Mongolia,Eastern Asia
Japan,Eastern Asia
China,Eastern Asia
Moldova,Eastern Europe
Russia,Eastern Europe
Hungary,Eastern Europe
New Caledonia,Melanesia
Solomon Islands,Melanesia
Vanuatu,Melanesia
Marshall Islands,Micronesia
Kiribati,Micronesia
Nauru,Micronesia
Cameroon,Middle Africa
Chad,Middle Africa
Equatorial Guinea,Middle Africa
Angola,Middle Africa
Algeria,Northern Africa
Sudan,Northern Africa
Egypt,Northern Africa
Greenland,Northern America
Bermuda,Northern America
Canada,Northern America
Finland,Northern Europe
Denmark,Northern Europe
United Kingdom,Northern Europe
Samoa,Polynesia
Tuvalu,Polynesia
Cook Islands,Polynesia
French Guiana,South America
Brazil,South America
Falkland Islands,South America
Venezuela,South America
Colombia,South America
Argentina,South America
Myanmar,South-eastern Asia
Singapore,South-eastern Asia
Laos,South-eastern Asia
Malaysia,South-eastern Asia
Vietnam,South-eastern Asia
Philippines,South-eastern Asia
East Timor,South-eastern Asia
Cambodia,South-eastern Asia
Lesotho,Southern Africa
Botswana,Southern Africa
South Africa,Southern Africa
Iran,Southern Asia
India,Southern Asia
Bhutan,Southern Asia
Bangladesh,Southern Asia
Maldives,Southern Asia
Afghanistan,Southern Asia
Italy,Southern Europe
Serbia,Southern Europe
Vatican,Southern Europe
Kosovo,Southern Europe
Andorra,Southern Europe
Liberia,Western Africa
Togo,Western Africa
Guinea-Bissau,Western Africa
Gambia,Western Africa
Senegal,Western Africa
Benin,Western Africa
Burkina Faso,Western Africa
Turkey,Western Asia
Saudi Arabia,Western Asia
Azerbaijan,Western Asia
Switzerland,Western Europe
Germany,Western Europe
